Fujifilm XF 400mm F4.5 R LM OIS WR	fujifilm	2026-09-04	lenses	FujifilmX	400mm
Leica Summicron-M 66 F2	leica	2026-09-03	lenses	LeicaM	66mm
7Artisans AF 10mm F2.5 Max	7artisans	2026-08-26	lenses	LeicaSL|NikonZ|SonyE	10mm
Sony FE 100-400mm F5.6-8 OSS	sony	2026-08-04	lenses	SonyE	100-400mm
Viltrox AF 26mm F2.8 Evo	viltrox	2026-07-15	lenses	NikonZ|SonyE	26mm
Sony Cyber-Shot DSC-RX10 V	sony	2026-07-09	compacts		
Leica SL3-P	leica	2026-06-25	slrs		
Leica APO-Macro-Elmarit-SL 100mm F2.8	leica	2026-06-25	lenses	LeicaSL	100mm
Leica Summilux-SL 50mm F1.4 ASPH 2026	leica	2026-06-25	lenses	LeicaSL	50mm
Viltrox AF 75mm F1.8 Evo	viltrox	2026-06-08	lenses	FujifilmX|NikonZ|SonyE	75mm
Viltrox AF 90mm F2.2 Evo	viltrox	2026-06-08	lenses	FujifilmX|NikonZ|SonyE	90mm
7Artisans AF 135mm F1.8 Max	7artisans	2026-05-20	lenses	LeicaSL|NikonZ|SonyE|SonyFE	135mm
Sony a7R VI	sony	2026-05-13	slrs		
Sony FE 100-400mm F4.5 GM OSS	sony	2026-05-13	lenses	SonyE|SonyFE	100-400mm
Canon EOS R6 V	canon	2026-05-13	slrs		
Canon RF 20-50mm F4 L IS USM PZ	canon	2026-05-13	lenses	CanonRF|CanonRFS	20-50mm
Panasonic Lumix DC-L10	panasonic	2026-05-12	compacts		
Thypoch Voyager 24-50mm F2.8	thypoch	2026-04-28	lenses	SonyE|SonyFE	24-50mm
Panasonic Lumix S 40mm F2	panasonic	2026-04-21	lenses	LeicaSL	40mm
Viltrox AF 35mm F1.8 II	viltrox	2026-04-20	lenses	NikonZ|SonyE|SonyFE	35mm
Viltrox AF 55mm F1.8 Evo	viltrox	2026-04-20	lenses	NikonZ|SonyE|SonyFE	55mm
LK Samyang AF 35mm F1.8 P	samyang-rokinon	2026-03-25	lenses	SonyE|SonyFE	35mm
Panasonic Lumix DC-ZS300	panasonic	2026-03-24	compacts		
Sigma 85mm F1.2 DG Art	sigma	2026-02-25	lenses	LeicaSL|SonyE|SonyFE	85mm
